datePainted,pigment1,pigment2,result,painter,Added?,
10/25/2025,Phlox Paroxysm,Gilded Bronze,Abstract Mess,Gry-,FALSE,*This is for an upcoming pigment history section Im working on
10/25/2025,Metallic Sands,Sinoper Shroud,Abstract Mess,Gry-,FALSE,
10/25/2025,Bianco di San Giovanni,Ethereal Mist,Abstract Mess,Luminus 9-4,FALSE,
10/25/2025,Cubic Periwinkle,Orpiment Tabby,Subject: Crowd of Travellers,Diarmuid,FALSE,
10/25/2025,Cornsilk Strand,Cerulean-ish Ultramarine,Abstract Mess,Diarmuid,FALSE,
10/25/2025,Orpiment Tabby,Nattier,Abstract Mess,Luminus 9-4,FALSE,
10/25/2025,Cornsilk Strand,Sky Captain's Spruce,Subject: University-bound Students,~kitty,FALSE,
10/25/2025,Ecru Winnower,Drunkard's Pillow,Scene: Soup Kitchen,~kitty,FALSE,
,,,,,FALSE,
